sex,education
0,0.7647058823529411
0,0.6470588235294118
1,0.5294117647058824
1,0.7647058823529411
0,0.7058823529411764
0,1.0
0,0.5294117647058824
0,0.23529411764705882
1,0.5294117647058824
1,0.23529411764705882
1,0.8235294117647058
0,0.5294117647058824
1,0.11764705882352941
1,0.29411764705882354
1,0.5294117647058824
1,0.6470588235294118
1,0.5294117647058824
0,1.0
1,0.8823529411764706
1,0.8235294117647058
1,0.23529411764705882
0,0.23529411764705882
1,0.23529411764705882
0,0.0
1,0.11764705882352941
1,0.23529411764705882
1,0.1764705882352941
1,0.23529411764705882
